Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CMI,CMI,CMI,CMI,CMI,CMI
Date,,,,,,
2000-01-03 00:00:00+00:00,6.674914360046387,11.828125,12.03125,11.5,11.984375,772000
2000-01-04 00:00:00+00:00,6.48974609375,11.5,11.8125,11.375,11.8125,667600
2000-01-05 00:00:00+00:00,6.498564720153809,11.515625,11.71875,11.34375,11.5,857600
2000-01-06 00:00:00+00:00,6.727823734283447,11.921875,12.0,10.40625,11.125,3072000
2000-01-07 00:00:00+00:00,6.904171943664551,12.234375,12.5,11.875,11.921875,2006000
2000-01-10 00:00:00+00:00,7.00116491317749,12.40625,12.46875,11.953125,12.171875,1014800
2000-01-11 00:00:00+00:00,6.604374885559082,11.703125,12.3125,11.59375,12.3125,769200
2000-01-12 00:00:00+00:00,6.630829334259033,11.75,11.96875,11.625,11.703125,677600
2000-01-13 00:00:00+00:00,6.74545431137085,11.953125,12.25,11.796875,11.8125,608400
2000-01-14 00:00:00+00:00,6.586738109588623,11.671875,12.0625,11.671875,12.015625,443200
2000-01-18 00:00:00+00:00,6.525017738342285,11.5625,11.640625,11.375,11.546875,511200
2000-01-19 00:00:00+00:00,6.375119209289551,11.296875,11.5625,11.265625,11.5625,1146800
2000-01-20 00:00:00+00:00,6.234035968780518,11.046875,11.359375,10.96875,11.359375,572400
2000-01-21 00:00:00+00:00,6.066500186920166,10.75,11.25,10.578125,11.109375,1079600
2000-01-24 00:00:00+00:00,5.881328105926514,10.421875,10.8125,10.28125,10.796875,1034400
2000-01-25 00:00:00+00:00,5.722613334655762,10.140625,10.421875,10.046875,10.375,1258800
2000-01-26 00:00:00+00:00,5.740248203277588,10.171875,10.296875,10.0,10.203125,2245200
2000-01-27 00:00:00+00:00,5.616806507110596,9.953125,10.109375,9.75,10.109375,1246800
2000-01-28 00:00:00+00:00,5.449270725250244,9.65625,10.15625,9.5,10.125,1690000
2000-01-31 00:00:00+00:00,5.396365642547607,9.5625,9.734375,9.4375,9.59375,1202800
2000-02-01 00:00:00+00:00,5.255282402038574,9.3125,9.5625,9.296875,9.375,1048000
2000-02-02 00:00:00+00:00,5.158288955688477,9.140625,9.453125,9.140625,9.3125,979600
2000-02-03 00:00:00+00:00,5.272916793823242,9.34375,9.421875,9.140625,9.265625,2487600
2000-02-04 00:00:00+00:00,5.2993693351745605,9.390625,9.453125,9.34375,9.34375,1194000
2000-02-07 00:00:00+00:00,5.23764705657959,9.28125,9.484375,9.09375,9.40625,1344800
2000-02-08 00:00:00+00:00,5.211191654205322,9.234375,9.5,9.15625,9.34375,1170000
2000-02-09 00:00:00+00:00,5.158288955688477,9.140625,9.34375,9.140625,9.25,909600
2000-02-10 00:00:00+00:00,5.1671061515808105,9.15625,9.234375,9.0625,9.140625,1580800
2000-02-11 00:00:00+00:00,4.946666717529297,8.765625,9.25,8.71875,9.25,1278800
2000-02-14 00:00:00+00:00,4.990755558013916,8.84375,8.96875,8.75,8.78125,1257200
2000-02-15 00:00:00+00:00,5.070113182067871,8.984375,9.078125,8.84375,8.84375,1914800
2000-02-16 00:00:00+00:00,5.228829860687256,9.265625,9.265625,9.109375,9.25,1792000
2000-02-17 00:00:00+00:00,5.087748050689697,9.015625,9.09375,8.90625,9.0,1058800
2000-02-18 00:00:00+00:00,5.749067783355713,10.1875,10.5,9.046875,9.15625,2434800
2000-02-22 00:00:00+00:00,5.740248203277588,10.171875,10.171875,9.640625,10.125,2058400
2000-02-23 00:00:00+00:00,5.396365642547607,9.5625,10.15625,9.5625,10.15625,720000
2000-02-24 00:00:00+00:00,4.937851905822754,8.75,9.546875,8.6875,9.546875,2075600
2000-02-25 00:00:00+00:00,4.884943962097168,8.65625,8.6875,8.4375,8.5625,2153200
2000-02-28 00:00:00+00:00,4.785323619842529,8.40625,8.515625,8.28125,8.515625,1172800
2000-02-29 00:00:00+00:00,4.740851402282715,8.328125,8.46875,8.25,8.46875,1358000
2000-03-01 00:00:00+00:00,4.820902347564697,8.46875,8.625,8.34375,8.390625,996400
2000-03-02 00:00:00+00:00,4.6874823570251465,8.234375,8.3125,8.09375,8.25,1185600
2000-03-03 00:00:00+00:00,4.927639484405518,8.65625,8.671875,8.203125,8.296875,1090400
2000-03-06 00:00:00+00:00,4.6963791847229,8.25,8.59375,8.25,8.53125,849600
2000-03-07 00:00:00+00:00,4.4562201499938965,7.828125,8.40625,7.8125,8.390625,852400
2000-03-08 00:00:00+00:00,4.420643329620361,7.765625,8.0,7.53125,7.953125,1096400
2000-03-09 00:00:00+00:00,4.554063320159912,8.0,8.0625,7.6875,7.859375,651600
2000-03-10 00:00:00+00:00,4.554063320159912,8.0,8.0625,7.703125,7.75,1124000
2000-03-13 00:00:00+00:00,4.474011421203613,7.859375,7.875,7.640625,7.875,709200
2000-03-14 00:00:00+00:00,4.482905864715576,7.875,8.109375,7.8125,7.921875,1020800
2000-03-15 00:00:00+00:00,4.7675347328186035,8.375,8.5,7.75,7.765625,1501200
2000-03-16 00:00:00+00:00,5.292320251464844,9.296875,9.3125,8.453125,8.484375,1659200
2000-03-17 00:00:00+00:00,5.061058044433594,8.890625,9.296875,8.703125,9.296875,1426800
2000-03-20 00:00:00+00:00,5.1144256591796875,8.984375,9.265625,8.953125,9.125,1358800
2000-03-21 00:00:00+00:00,5.301211357116699,9.3125,9.5,8.96875,9.109375,1124000
2000-03-22 00:00:00+00:00,5.230055809020996,9.1875,9.3125,9.046875,9.3125,839200
2000-03-23 00:00:00+00:00,5.4435319900512695,9.5625,9.625,9.125,9.125,1117600
2000-03-24 00:00:00+00:00,5.425739288330078,9.53125,9.765625,9.390625,9.5625,1267600
2000-03-27 00:00:00+00:00,5.470213890075684,9.609375,9.75,9.34375,9.625,1250000
2000-03-28 00:00:00+00:00,5.301211357116699,9.3125,9.6875,9.125,9.671875,1177200
2000-03-29 00:00:00+00:00,5.354582786560059,9.40625,9.65625,9.25,9.328125,1277600
2000-03-30 00:00:00+00:00,5.167793273925781,9.078125,9.34375,8.953125,9.34375,1808400
2000-03-31 00:00:00+00:00,5.3456854820251465,9.390625,9.5,8.9375,8.953125,1990000
2000-04-03 00:00:00+00:00,5.301211357116699,9.3125,9.515625,9.125,9.515625,776800
2000-04-04 00:00:00+00:00,5.461315155029297,9.59375,9.984375,9.390625,9.484375,1860400
2000-04-05 00:00:00+00:00,5.3812642097473145,9.453125,9.75,9.40625,9.75,1022000
2000-04-06 00:00:00+00:00,5.230055809020996,9.1875,9.578125,9.1875,9.453125,1339200
2000-04-07 00:00:00+00:00,5.185582637786865,9.109375,9.28125,9.015625,9.25,709200
2000-04-10 00:00:00+00:00,5.141109943389893,9.03125,9.28125,8.96875,9.09375,542000
2000-04-11 00:00:00+00:00,5.1500043869018555,9.046875,9.1875,8.953125,9.09375,889600
2000-04-12 00:00:00+00:00,5.069955348968506,8.90625,9.375,8.875,8.984375,1400400
2000-04-13 00:00:00+00:00,5.496896266937256,9.65625,9.9375,9.171875,9.296875,2063600
2000-04-14 00:00:00+00:00,5.21226692199707,9.15625,9.5,9.125,9.4375,2065600
2000-04-17 00:00:00+00:00,5.221160888671875,9.171875,9.703125,9.15625,9.15625,1160400
